Name,University,Year,Country
Zexuan Zhong,University of Illinois at Urbana-Champaign,2019,United States
Austin Tankiang,The University of New South Wales,2019,Australia
Qingchuan Zhang,The University of Auckland,2019,New Zealand
Samuel Dobson,The University of Auckland,2019,New Zealand
Adrian Goldwaser,The University of New South Wales,2019,Australia
Declan McDonnell,The University of New South Wales,2019,Australia
Aditya Shah,Columbia University,2019,United States
Bicheng Gao,Columbia University,2019,United States
Pengda Xiang,University of Southern California,2019,United States
Chenhui Zhu,University of Southern California,2019,United States
Changyu Zhu,University of Southern California,2019,United States
Yiquan Wang,Carnegie Mellon University,2019,United States
Matthew Savage,Carnegie Mellon University,2019,United States
Corwin de Boor,Carnegie Mellon University,2019,United States
Yuping Luo,Princeton University,2019,United States
Xingyuan Sun,Princeton University,2019,United States
Dingli Yu,Princeton University,2019,United States
Yifan Liu,University of Chicago,2019,United States
Da Wei Zheng,University of British Columbia,2019,Canada
Brandon Zhang,University of British Columbia,2019,Canada
Xifan Yu,University of Chicago,2019,United States
Sampriti Panda,Drexel University,2019,United States
Zixuan Zhao,University of Chicago,2019,United States
Chenwei Wu,Duke University,2019,United States
Joakim Blikstad,University of Waterloo,2019,Canada
Trieu Hung Tran,University of Nebraska - Lincoln,2019,United States
Khang Phan,University of Nebraska - Lincoln,2019,United States
Dannier Li,University of Nebraska - Lincoln,2019,United States
Zeyuan He,University of Wisconsin - Madison,2019,United States
Shirui Chen,University of Wisconsin - Madison,2019,United States
Bryan Jin,University of Wisconsin - Madison,2019,United States
Samuel Reinehr,Colorado School of Mines,2019,United States
Matthew Baldin,Colorado School of Mines,2019,United States
Joseph McKinsey,Colorado School of Mines,2019,United States
Theodore Vickery,The University of Western Australia,2019,Australia
Nicholas O'Callaghan,The University of Western Australia,2019,Australia
Alexander Thatcher,The University of Western Australia,2019,Australia
Harun Gunaydin,Drexel University,2019,United States
Duy Nguyen,Drexel University,2019,United States
Michael Pfeifer,South Dakota School of Mines and Technology,2019,United States
Luke Videckis,South Dakota School of Mines and Technology,2019,United States
Alexander Iverson,South Dakota School of Mines and Technology,2019,United States
Xiang Wang,Duke University,2019,United States
Kangning Wang,Duke University,2019,United States
Sean Purcell,University of Waterloo,2019,Canada
Yang Liu,Stanford University,2019,United States
Zoltán Molnár Sáska,University of Cambridge,2019,United Kingdom
Andrew He,Massachusetts Institute of Technology,2019,United States
Kevin Sun,Massachusetts Institute of Technology,2019,United States
Yinzhan Xu,Massachusetts Institute of Technology,2019,United States
Alex Tatomir,University of Oxford,2019,United Kingdom
Jeck Lim,University of Cambridge,2019,United Kingdom
Daniel Chiu,Harvard University,2019,United States
Ryan Rice,The University of Texas at Austin,2019,United States
Eric Xu,Stanford University,2019,United States
Supawit Chockchowwat,The University of Texas at Austin,2019,United States
Wenli Looi,Stanford University,2019,United States
Ethan Arnold,The University of Texas at Austin,2019,United States
Pranay Tankala,Harvard University,2019,United States
Peilin Zhong,Columbia University,2018,United States
Suchir Balaji,University of California at Berkeley,2018,United States
Dimitrije Erdeljan,University of Cambridge,2018,United Kingdom
Dušan Živanović,University of Cambridge,2018,United Kingdom
Marko Stanković,University of Cambridge,2018,United Kingdom
Andrei-Costin Constantinescu,University of Oxford,2018,United Kingdom
George Chichirim,University of Oxford,2018,United Kingdom
Tamio-Vesa Nakajima,University of Oxford,2018,United Kingdom
Haomin Long,Columbia University,2018,United States
Ying Sheng,Columbia University,2018,United States
Gregory Zhang,University of British Columbia,2018,Canada
Lucca Siaudzionis,University of British Columbia,2018,Canada
Aman Karunakaran,University of Michigan at Ann Arbor,2018,United States
Lawrence Wu,University of Michigan at Ann Arbor,2018,United States
Nathan Fenner,University of Michigan at Ann Arbor,2018,United States
Arnav Sastry,The University of Texas at Austin,2018,United States
Daniel Talamas Cano,The University of Texas at Austin,2018,United States
Alexander Dai,University of California at Berkeley,2018,United States
Dongxiao Yu,University of California at Berkeley,2018,United States
Mohammad Huda,The University of New South Wales,2018,Australia
Oliver Fisher,The University of New South Wales,2018,Australia
Ray Li,The University of New South Wales,2018,Australia
Alexander Coleman,University of Central Florida,2018,United States
Eric Ly,University of Central Florida,2018,United States
Timothy Buzzelli,University of Central Florida,2018,United States
Allen Liu,Massachusetts Institute of Technology,2018,United States
