Name,Country,University,Year,Source
Liangjian Chen,United States,University of California Irvine,2017,ICPC
Lingxiao Li,United States,Stanford University,2015,ICPC
Linhan Yu,United States,Carnegie Mellon University,2023,ICPC
Linus Cooper,Australia,,2017,IMO
Linus Tang,United States,,2024,IMO
Loc Bui,United States,University of Rochester,2021,ICPC
Luca Araujo,United States,Carleton College,2023,ICPC
Lucas Knutson,United States,University of Minnesota - Twin Cities,2016,ICPC
Lucas Xia,United States,University of California Los Angeles,2021,ICPC
Lucca Siaudzionis,Canada,University of British Columbia,2018,ICPC
Luhang Lai,United States,University of California at Berkeley,2015,ICPC
Lukas Michel,United Kingdom,University of Oxford,2021,ICPC
Luke Robitaille,United States,,2022,IMO
Luke Videckis,United States,South Dakota School of Mines and Technology,2019,ICPC
Maayan Levy,New Zealand,,2020,IOI
Mahsa Derakhshan,United States,University of Maryland,2017,ICPC
Maja Trela,United Kingdom,University of Cambridge,2020,ICPC
Marcus Upton,United States,Messiah College,2015,ICPC
Marian Dietz,Canada,University of Waterloo,2022,ICPC
Marielle Foster,United States,Carleton College,2015,ICPC
Mark Wen,United States,The University of Texas at Austin,2024,ICPC
Marko Stanković,United Kingdom,University of Cambridge,2018,ICPC
Mars Xiang,Canada,,2023,IOI
Martin Anjie Luk,New Zealand,,2015,IMO
Marvin Mao,Canada,,2024,IMO
Matej Urban,United Kingdom,University of Cambridge,2024,ICPC
Matt Cotter,United States,Carleton College,2015,ICPC
Matthew Agar,Canada,University of Toronto,2023,ICPC
Matthew Baldin,United States,Colorado School of Mines,2019,ICPC
Matthew Cheah,Australia,,2017,IMO
Matthew Dyke,United States,South Dakota School of Mines and Technology,2017,ICPC
Matthew Gharrity,United States,Cornell University,2017,ICPC
Matthew Hillman,United Kingdom,,2016,IOI
Matthew Savage,United States,Carnegie Mellon University,2019,ICPC
Matthew Schallenkamp,United States,South Dakota School of Mines and Technology,2018,ICPC
Matthew Tran,United States,Texas A&M University,2021,ICPC
Max Jiang,Canada,University of Waterloo,2024,ICPC
Max Ward-Graham,Australia,The University of Western Australia,2016,ICPC
Maxim Li,United States,,2021,IMO
Maximus Lu,United States,,2023,IMO
Maxwell He,Canada,,2024,IOI
Maxwell Zen,United States,Harvard University,2024,ICPC
Maxwell Zhang,United States,Georgia Institute of Technology,2023,ICPC
Menghui Wang,United States,University of Wisconsin - Madison,2015,ICPC
Micah Stairs,Canada,Mount Allison University,2017,ICPC
Michael Chen,Australia,,2015,IOI
Michael Kirsche,United States,University of Central Florida,2016,ICPC
Michael Kural,United States,,2016,IMO
Michael Li,Canada,,2020,IMO
Michael Martis,Australia,The University of Western Australia,2015,ICPC
Michael Nematollahi,Canada,University of Toronto,2021,ICPC
Michael Pang,Canada,,2015,IMO
Michael Pfeifer,United States,South Dakota School of Mines and Technology,2019,ICPC
Michael Ren,United States,,2018,IMO
Michael Zhao,Australia,University of Melbourne,2022,ICPC
Michelle Chen,Australia,,2016,IMO
Mihai Andreescu,United States,University of Chicago,2016,ICPC
Mihai Popa,United Kingdom,Imperial College London,2016,ICPC
Mihail Jianu,United Kingdom,University of Oxford,2017,ICPC
Mihir Anand Singhal,United States,,2018,IMO
Mijia Jiang,United States,University of Minnesota - Twin Cities,2015,ICPC
Mikaeel Shah,United Kingdom,,2024,IMO
Mike Nguyen,United States,The University of Texas at Dallas,2023,ICPC
Miles Conway,Australia,,2023,IOI
Miles Yee-Cheng Lee,New Zealand,,2016,IMO
Milin Kodnongbua,United States,University of Washington,2022,ICPC
Ming Yang,Canada,,2024,IMO
Mingrui Liu,United States,University of Wisconsin-Madison,2022,ICPC
Mingyang Deng,United States,Massachusetts Institute of Technology,2022,ICPC
Minh Nguyen,United States,Purdue University,2022,ICPC
Miraziz Yusupov,United States,Virginia Tech,2015,ICPC
Misha Ivkov,United States,Stanford University,2023,ICPC
Mitchell Peterson,United States,The University of South Dakota,2017,ICPC
Mohammad Amin Ghiasi,United States,University of Maryland,2018,ICPC
Mohammad Huda,Australia,The University of New South Wales,2018,ICPC
Mohit Hulse,United Kingdom,,2022,IMO
Morgan Redshaw,Canada,University of Alberta,2017,ICPC
Moses Mayer,United States,Harvard University,2020,ICPC
Muthukurisil Arivoli,United States,Duke University,2020,ICPC
Naixin Zong,United States,Texas A&M University,2021,ICPC
Naomi Rubin,United States,Carnegie Mellon University,2016,ICPC
Natalie Longtin,United States,University of Central Florida,2023,ICPC
Nathan Chaney,United States,Messiah College,2015,ICPC
Nathan De Graaf,United States,Iowa State University,2016,ICPC
Nathan Fenner,United States,University of Michigan at Ann Arbor,2018,ICPC
Nathan Harold,United States,Cedarville University,2017,ICPC
Nathaniel Masfen-Yan,New Zealand,,2020,IMO
Nathanon Akkaraphab,United States,University of Washington,2022,ICPC
Neel Nanda,United Kingdom,,2017,IMO
Netanya Robinson,Australia,University of Melbourne,2022,ICPC
Nicholas Belov,United States,Rutgers University,2024,ICPC
Nicholas Grace,New Zealand,,2022,IOI
Nicholas McKinlay,New Zealand,,2024,IMO
Nicholas O'Callaghan,Australia,The University of Western Australia,2019,ICPC
Nicholas Sharp,United States,Virginia Tech,2015,ICPC
Nicholas Sun,Canada,,2018,IMO
Nicholas Winschel,United States,University of Virginia,2024,ICPC
Nick Merritt,United States,Rice University,2015,ICPC
Nikil Roashan Selvam,United States,University of California Los Angeles,2023,ICPC
Nikola Danevski,United States,University of Rochester,2020,ICPC
Nikolas Anderson,United States,University of Chicago,2016,ICPC
Nishant Bhakar,United States,"University of California, Berkeley",2023,ICPC
Nitit Jongsawatsataporn,United States,University of Wisconsin - Madison,2020,ICPC
Noah Walsh,United States,,2021,IMO
Noah Weninger,Canada,University of Alberta,2017,ICPC
