Name,Country,University,Year,Source,LinkedIn_Profile
Benjamin Qi,United States,Massachusetts Institute of Technology,2020,ICPC,https://www.linkedin.com/in/bqi343
Benjamin Reidys,United States,Virginia Tech,2020,ICPC,https://www.linkedin.com/in/benjamin-reidys-89a802170/
Benjamin Smith,New Zealand,,2021,IOI,https://www.linkedin.com/in/benjamin-smith-413b883d8100s
Benyu Wang,United States,University of Michigan at Ann Arbor,2024,ICPC,https://www.linkedin.com/in/binyu-wang-047b30236?trk=people-guest_people_search-card
Bicheng Gao,United States,Columbia University,2019,ICPC,https://www.linkedin.com/in/bicheng-gao-1b719266
Biye Jiang,United States,University of California at Berkeley,2015,ICPC,https://www.linkedin.com/in/jun-jiang
Boning Dai,New Zealand,,2024,IMO,https://sg.linkedin.com/in/boning-song-5381941b4
Brandon Wang,United States,,2019,IMO,https://www.linkedin.com/in/wangbrandon
Brandon Zhang,Canada,University of British Columbia,2019,ICPC,https://sg.linkedin.com/in/brandon-zhang-01804a210
Brena Merz,New Zealand,,2022,IMO,https://nz.linkedin.com/in/brena-merz-b99970266
Brian Chau,Canada,University of British Columbia,2016,ICPC,https://ca.linkedin.com/in/brian-chau-2b243865
Brian Chen,United States,Massachusetts Institute of Technology,2016,ICPC,https://www.linkedin.com/in/brianchenphd
Brian Hirsh,United States,University of Pennsylvania,2018,ICPC,https://www.linkedin.com/in/hirshbrian
Brian Richer,United States,The University of Texas at Austin,2017,ICPC,https://www.linkedin.com/in/brianmathewricher
Bryan Jin,United States,University of Wisconsin - Madison,2019,ICPC,https://www.linkedin.com/in/bryan-jin-804a60113
Bryce Sandlund,United States,University of Wisconsin - Madison,2015,ICPC,https://www.linkedin.com/in/brycesandlund
Brynly Mitchell,Australia,,2021,IOI,https://uk.linkedin.com/in/brynley-smith-a3177915a
Bufan Zhao,New Zealand,,2023,IMO,https://www.linkedin.com/in/bufan-zhao-387a76214
Byung Hoon Cho,New Zealand,,2015,IOI,
Bálint Rózsa,Canada,,2024,IOI,https://www.linkedin.com/in/balint-rozsa-b2b6262a1
Caleb Hu,United States,The University of Texas at Austin,2024,ICPC,https://www.linkedin.com/in/caleb-hu-17a2a331b
Calvin Deng,United States,Harvard University,2016,ICPC,https://www.linkedin.com/in/calvin-deng-700b9781
Changtian Sun,United States,University of Wisconsin - Madison,2018,ICPC,https://www.linkedin.com/in/changtian-sun
Changyu Zhu,United States,University of Southern California,2019,ICPC,https://www.linkedin.com/in/changyu-zhu
Chaoshuai Lu,United States,University of California Los Angeles,2015,ICPC,https://www.linkedin.com/in/matrush
Charles Dacheng Li,Australia,,2018,IMO,https://uk.linkedin.com/in/charles-li-606894283
Charles Jameson,Australia,,2017,IOI,
Charles Koenig,United States,University of Chicago,2015,ICPC,https://www.linkedin.com/in/charles-koenig-155bb053
Chase Hildebrand,United States,University of Virginia,2024,ICPC,
Cheng-Yuan Lee,United States,University of Maryland,2024,ICPC,https://www.linkedin.com/in/sam571128
Chenhui Zhu,United States,University of Southern California,2019,ICPC,https://www.linkedin.com/in/chenhui-zhu-4343ba149
Chenwei Wu,United States,Duke University,2019,ICPC,https://www.linkedin.com/in/chenwei-wu-22754012b
Ching Yun Hsu,United States,California Institute of Technology,2016,ICPC,
Chris Pan,New Zealand,,2024,IMO,https://www.linkedin.com/in/chrispan
Chris Trevisan,Canada,University of Waterloo,2022,ICPC,https://ca.linkedin.com/in/chris-trevisan-865b111ba
Christopher Brown,New Zealand,,2016,IOI,https://www.linkedin.com/in/christopher-brown-50497234
Christopher Lambert,United States,Carnegie Mellon University,2021,ICPC,https://www.linkedin.com/in/chris-lambert-7b350380
Christopher Tran,Australia,,2023,IMO,https://www.linkedin.com/in/christophermtran
Christopher Trevisan,Canada,,2021,IOI,
Christopher Wu,United States,Virginia Tech,2017,ICPC,https://www.linkedin.com/in/chris-wu-a7a974125
Chuanqi Shen,United States,Stanford University,2015,ICPC,https://www.linkedin.com/in/chuanqi-shen-81a32646
Chuanye Chen,New Zealand,,2016,IOI,https://www.linkedin.com/in/chuanye-xiong-198404238
Chun Wu,United States,University of Michigan at Ann Arbor,2015,ICPC,https://www.linkedin.com/in/chunyi-wu-49bb263b
Cloris Xu,Australia,,2024,IMO,
Colin Galen,United States,University of Maryland,2024,ICPC,https://www.linkedin.com/in/colin-galen-10b157206
Colin Shanmo Tang,United States,,2019,IMO,https://www.linkedin.com/in/colinshanmotang
Conor Kennedy,United States,Stanford University,2024,ICPC,https://www.linkedin.com/in/conor-kennedy-129b32320
Cormac Kikkert,Australia,The Australian National University,2024,ICPC,https://au.linkedin.com/in/cormac-kikkert-264b621b2
Corwin de Boor,United States,Carnegie Mellon University,2019,ICPC,
Costin-Andrei Oncescu,United Kingdom,University of Oxford,2021,ICPC,https://www.linkedin.com/in/costin-andrei-oncescu-0b3b18176
Curtis Fenner,United States,University of Michigan at Ann Arbor,2017,ICPC,https://www.linkedin.com/in/liam-aaren-curtis-677570196
Da Wei Zheng,Canada,University of British Columbia,2019,ICPC,https://ca.linkedin.com/in/wei-zheng-8172271a3
Daaron Chiu,Australia,The University of New South Wales,2016,ICPC,https://au.linkedin.com/in/daaron-chiu-8204b1109
Dallas Yan,Australia,UNSW Sydney,2022,ICPC,https://au.linkedin.com/in/dallasyan
Daniel Anderson,Australia,Monash University,2017,ICPC,https://www.linkedin.com/in/danielliamanderson
Daniel Andrus,United States,South Dakota School of Mines and Technology,2016,ICPC,https://www.linkedin.com/in/daniel-andrus-259a27a3
Daniel Chiu,United States,Harvard University,2019,ICPC,https://www.linkedin.com/in/chiud13
Daniel Moyer,United States,Virginia Tech,2018,ICPC,https://www.linkedin.com/in/daniel-moyer-97733118a
Daniel Naylor,United Kingdom,,2021,IMO,https://www.linkedin.com/in/daniel-naylor-b385398
Daniel Rubery,United States,University of Rochester,2017,ICPC,
Daniel Talamas Cano,United States,The University of Texas at Austin,2018,ICPC,https://www.linkedin.com/in/khrystina-gullett-46aab137
Daniel West,United States,University of Central Florida,2022,ICPC,https://www.linkedin.com/in/daniel-west-578a64190
Daniel Ye,Canada,,2024,IOI,https://www.linkedin.com/in/dye01
Daniel Zhang,United States,Georgia Institute of Technology,2023,ICPC,https://www.linkedin.com/in/the-daniel-zhang
Daniel Zhu,United States,,2019,IMO,https://www.linkedin.com/in/danzhuu
Dannier Li,United States,University of Nebraska - Lincoln,2019,ICPC,https://www.linkedin.com/in/dannier-li
Darrin Wiley,United States,The University of Texas at Dallas,2020,ICPC,https://www.linkedin.com/in/darrin-wiley-b6b436152
David Berard,Canada,University of British Columbia,2020,ICPC,https://www.linkedin.com/in/david-berard-2a0531176
David Harmeyer,United States,University of Central Florida,2020,ICPC,
David Liao,United States,University of Pennsylvania,2018,ICPC,https://www.linkedin.com/in/davidliao1
David Liu,United States,Harvard University,2015,ICPC,https://www.linkedin.com/in/david-r-liu-465394185
David Shah,United Kingdom,,2015,IOI,
David Spencer,United States,University of North Carolina at Chapel Hill,2016,ICPC,https://www.linkedin.com/in/david-spencer-38597bb7
David Stoner,United States,,2015,IMO,
David Tang,Canada,,2020,IMO,https://www.linkedin.com/in/daxtang
David Wärn,United Kingdom,University of Cambridge,2020,ICPC,
David Zhuang,United States,Northeastern University,2021,ICPC,https://www.linkedin.com/in/david-zhuang
Dawn Chen,New Zealand,,2024,IMO,https://www.linkedin.com/in/dawnchenx
Dayton Ellwanger,United States,University of North Carolina at Chapel Hill,2016,ICPC,https://www.linkedin.com/in/dayton-ellwanger-88528b94
Declan McDonnell,Australia,The University of New South Wales,2016,ICPC,https://ie.linkedin.com/in/declan-allen-60814615
Deon Nicholas,Canada,University of Waterloo,2015,ICPC,https://www.linkedin.com/in/deon-nicholas
Derek Liu,United States,,2023,IMO,https://www.linkedin.com/in/cderekliu
Derek Morris,United States,University of Virginia,2016,ICPC,https://www.linkedin.com/in/derekemorris
Devin Qu,United States,Purdue University,2023,ICPC,https://www.linkedin.com/in/devinqu
Deyuan Li,United States,Yale University,2021,ICPC,https://www.linkedin.com/in/deyuan-li
Dhruv Basu,Canada,,2023,IMO,https://www.linkedin.com/in/dhruv-basu-48479562
Di Chen,United States,Cornell University,2018,ICPC,https://www.linkedin.com/in/di-chen-a0b264131
Dilhan Salgado,United States,Carnegie Mellon University,2022,ICPC,https://www.linkedin.com/in/dilhan-salgado-7491b0220
Dimitrije Erdeljan,United Kingdom,University of Cambridge,2018,ICPC,https://uk.linkedin.com/in/dimitrije-erdeljan-777a39148
Dingkang Wang,United States,Ohio State University,2016,ICPC,https://www.linkedin.com/in/dingkang-wang-b25407ab
Dingli Yu,United States,Princeton University,2019,ICPC,https://www.linkedin.com/in/dingli-yu-3b5b01143/
Dion Stephan Ong,United States,Yale University,2021,ICPC,https://www.linkedin.com/in/dsjong
Dmitry Brizhinev,Australia,The Australian National University,2015,ICPC,
Dongxiao Yu,United States,University of California at Berkeley,2018,ICPC,
Dragos-Florian Ristache,United States,Cornell University,2017,ICPC,
Dung Bui,United States,University of Wisconsin-Madison,2021,ICPC,
Dustin Pho,United States,Virginia Tech,2016,ICPC,
Duy Nguyen,United States,Drexel University,2019,ICPC,https://www.linkedin.com/in/duy-nguyen-80999b255
Dušan Živanović,United Kingdom,University of Cambridge,2018,ICPC,
Ed Kim,United States,Northwestern University,2015,ICPC,https://www.linkedin.com/in/edward-kim-18b16668
Edgar Wang,Canada,,2020,IMO,https://www.linkedin.com/in/edgar-wang-1a743423
Eduardo Ferreira,United States,Cornell University,2015,ICPC,https://br.linkedin.com/in/edufgf
Edward Chen,New Zealand,The University of Auckland,2019,ICPC,https://nz.linkedin.com/in/edward--c
Edward Wan,United States,,2019,IMO,
Edward Xiao,Canada,,2022,IOI,https://www.linkedin.com/in/edwarddxiao
Edward Xiao,United States,Carnegie Mellon University,2023,ICPC,https://www.linkedin.com/in/edward-xiao-cmu
Egor Gagushin,United States,Purdue University,2022,ICPC,https://www.linkedin.com/in/egor-gagushin-24a66a21b
Elijah Huang,United States,University of California Irvine,2024,ICPC,https://www.linkedin.com/in/elijah-huang-
Eliot Courtney,Australia,The University of Western Australia,2015,ICPC,https://jp.linkedin.com/in/eliot-courtney-b76a9ba7
Emily Ma,Canada,,2024,IMO,https://www.linkedin.com/in/emilyjma
Emma Krantz,Australia,The University of Western Australia,2016,ICPC,https://au.linkedin.com/in/emma-krantz-803764136
Erekle Roinishvili,United Kingdom,,2023,IOI,https://uk.linkedin.com/in/erekle-roi
Eric Hu,Canada,McGill University,2021,ICPC,https://ca.linkedin.com/in/eric-hu-4b9886141
Eric Lee,New Zealand,,2022,IMO,https://www.linkedin.com/in/eric-lee-08561b4
Eric Liang,New Zealand,,2023,IMO,
Eric Ly,United States,University of Central Florida,2018,ICPC,https://www.linkedin.com/in/eric-ly-074321149
Eric Schneider,United States,Princeton University,2017,ICPC,https://www.linkedin.com/in/ericcire
Eric Shao,United States,Columbia University,2024,ICPC,https://www.linkedin.com/in/eyshao
Eric Shen,Canada,,2021,IMO,https://www.linkedin.com/in/ericshen30
Eric Shen,United States,,2023,IMO,https://www.linkedin.com/in/ericshen30
Eric Song,New Zealand,,2019,IOI,https://www.linkedin.com/in/eric-song-4432314a
Eric Williamson,United States,Virginia Tech,2018,ICPC,https://www.linkedin.com/in/eric-williamson-3085306
Eric Xu,United States,Stanford University,2019,ICPC,https://www.linkedin.com/in/eric-xu-83195a10b
Eric Yang,United States,Rutgers University,2024,ICPC,https://www.linkedin.com/in/eric-yang-6633bb261
Eric Zhang,United States,Harvard University,2020,ICPC,https://www.linkedin.com/in/ekzhang
Ernest Lu,United States,"University of California, Berkeley",2024,ICPC,https://www.linkedin.com/in/badint
Ethan Arnold,United States,The University of Texas at Austin,2019,ICPC,https://www.linkedin.com/in/ethanarnold
Ethan Ng,New Zealand,,2020,IMO,https://www.linkedin.com/in/ethan--ng
