Name,Country,University,Year,Source,LinkedIn_Profile
Siddhartha Jayanti,United States,Princeton University,2015,ICPC,https://www.linkedin.com/in/siddhartha-jayanti-%E0%B0%B8%E0%B0%BF%E0%B0%A6%E0%B1%8D%E0%B0%A7%E0%B0%BE%E0%B0%B0%E0%B1%8D%E0%B0%A5-%E0%B0%9C%E0%B0%AF%E0%B0%82%E0%B0%A4%E0%B0%BF-a31b27271
Sina Dehghani,United States,University of Maryland,2015,ICPC,
Siqiu Yao,United States,Cornell University,2018,ICPC,https://www.linkedin.com/in/siqiu-yao-aa8218199
Siwakorn Srisakaokul,United States,University of Illinois at Urbana-Champaign,2016,ICPC,https://th.linkedin.com/in/siwakorn-srisakaokul-85668541
Siyong Huang,United States,Massachusetts Institute of Technology,2023,ICPC,https://www.linkedin.com/in/siyong-huang-59a264221
Siyuan Cai,United States,Northwestern University,2015,ICPC,https://www.linkedin.com/in/siyuan-cai-b85a4983
Sizhe Pan,Australia,,2023,IMO,https://au.linkedin.com/in/sizhe-pan-00191b2b4
Soheil Ehsani Banafati,United States,University of Maryland,2015,ICPC,https://www.linkedin.com/in/soheil-ehsani
Songwong Tasneeyapant,United States,University of Wisconsin - Madison,2017,ICPC,https://www.linkedin.com/in/songwong
Sparsh Sanchorawala,United States,New York University,2023,ICPC,https://www.linkedin.com/in/spar5h
Spencer Compton,United States,Stanford University,2020,ICPC,https://www.linkedin.com/in/spencer-stanford
Spencer Smith,United States,Brigham Young University,2023,ICPC,https://www.linkedin.com/in/spencer-smith2003
Stacey Tian,New Zealand,,2017,IMO,https://www.linkedin.com/in/stacey-tian-b05533195
Stanisław Strzelecki,United States,University of California San Diego,2024,ICPC,https://www.linkedin.com/in/stanislaw-strzelecki-526bb385
Stanley Wei,United States,The University of Texas at Austin,2022,ICPC,https://www.linkedin.com/in/stanley-wei-99ab98199
Stefan Buliga,United Kingdom,University of Oxford,2021,ICPC,https://uk.linkedin.com/in/stefan-constantin-buliga-a4a7011b8
Stephen Royal,United States,University of Central Florida,2016,ICPC,https://www.linkedin.com/in/stephen-royal-457b7135
Steven Hao,United States,Massachusetts Institute of Technology,2016,ICPC,https://www.linkedin.com/in/steven-hao-160b9638
Suchir Balaji,United States,University of California at Berkeley,2018,ICPC,https://www.linkedin.com/in/suchirbalaji
Supawit Chockchowwat,United States,The University of Texas at Austin,2019,ICPC,https://www.linkedin.com/in/supawit-chockchowwat
Suraj Mathashery,United States,The University of Texas at Dallas,2023,ICPC,https://www.linkedin.com/in/suraj-mathashery-1b1396234
Swapnil Garg,United States,"University of California, Berkeley",2023,ICPC,
Szu-Po Wang,United States,Massachusetts Institute of Technology,2015,ICPC,https://www.linkedin.com/in/szu-po-wang-90190150
Tamio-Vesa Nakajima,United Kingdom,University of Oxford,2018,ICPC,
Tanapoom Laoaron,United States,University of Wisconsin-Madison,2021,ICPC,https://th.linkedin.com/in/tanapoom-laoaron-21a5851aa
Tanner Hoke,United States,Texas A&M University,2021,ICPC,
Tao He,Australia,UNSW Sydney,2023,ICPC,https://au.linkedin.com/in/tao-he-89169a255
Taokun Zheng,United States,California Institute of Technology,2016,ICPC,https://www.linkedin.com/in/xanderzheng
Tautvydas Jasiūnas,United Kingdom,University of Cambridge,2022,ICPC,
Te Zhang,United States,Ohio State University,2016,ICPC,https://www.linkedin.com/in/zhanghang168
Temmie Yao,Australia,UNSW Sydney,2021,ICPC,
Tenghao Li,United States,Cornell University,2024,ICPC,https://www.linkedin.com/in/tenghao-li-186a46230/en?trk=people-guest_people_search-card
Theodore Vickery,Australia,The University of Western Australia,2019,ICPC,https://au.linkedin.com/in/theo-vickery-b795a617b
Thien Udomsrirungruang,United Kingdom,University of Oxford,2024,ICPC,https://uk.linkedin.com/in/thienudomsrirungruang
Thien-Trung Vuong,Canada,McGill University,2021,ICPC,https://www.linkedin.com/in/ashton-sun-a17551a9
Thomas Draper,United States,Brigham Young University,2023,ICPC,https://www.linkedin.com/in/thomasleedraper
Thomas Guo,Canada,,2021,IMO,https://ca.linkedin.com/in/thomas-guo-923374213
Thomas Guo,United States,Massachusetts Institute of Technology,2023,ICPC,https://ca.linkedin.com/in/thomas-guo-923374213
Thomas Kavanagh,United Kingdom,,2023,IMO,https://www.linkedin.com/in/tgkavanagh
Thomas Li,United States,University of California San Diego,2023,ICPC,https://www.linkedin.com/in/tomxqli
Thomas Lidbetter,Canada,Mount Allison University,2017,ICPC,https://uk.linkedin.com/in/paul-robbins-8bb88088
Thomas Neill,United States,University of California Irvine,2024,ICPC,https://www.linkedin.com/in/thomas-neill-038b65224
Thomas Read,United Kingdom,,2017,IOI,https://www.linkedin.com/in/thomashread
Thomas Yang,United States,Rutgers University,2024,ICPC,https://www.linkedin.com/in/thomas-yang-5b38781ba
Tianci Wang,United States,University of Michigan at Ann Arbor,2017,ICPC,https://www.linkedin.com/in/tianci-l-553572132
Tianwei Xu,United States,University of Illinois at Urbana-Champaign,2018,ICPC,https://www.linkedin.com/in/tianwei-xu
Tianyi Chen,United States,University of Southern California,2020,ICPC,https://www.linkedin.com/in/tianyichen2
Tianze Jiang,United States,,2020,IMO,https://www.linkedin.com/in/tianze-jiang-b5b761196
Timmy Yao,Australia,,2019,IOI,
Timothy Buzzelli,United States,University of Central Florida,2018,ICPC,https://www.linkedin.com/in/timothy-buzzelli-228015175
Timothy Mou,United States,Swarthmore College,2024,ICPC,https://www.linkedin.com/in/timothy-mou-7447001b0
Timothy Smith,United States,Cedarville University,2015,ICPC,https://www.linkedin.com/in/timothysmithii
Toby Collins,United Kingdom,,2022,IOI,
Todor Markov,United States,Illinois Institute of Technology,2016,ICPC,https://bg.linkedin.com/in/todor-markov
Tom Hillman,United Kingdom,,2019,IMO,https://www.linkedin.com/in/tom-hillman-4345b91b0
Tommy Walker Mackay,United Kingdom,,2020,IMO,https://www.linkedin.com/in/celebrationentertainment1996
Tong Li,United States,University of Illinois at Urbana-Champaign,2017,ICPC,https://www.linkedin.com/in/li-tong-22a50757
Tony Yuzheng Wu,Australia,,2022,IMO,https://www.linkedin.com/in/tony-wu-595bb5294
Trevor Boone,United States,Iowa State University,2015,ICPC,https://www.linkedin.com/in/trevboone
Trieu Hung Tran,United States,University of Nebraska - Lincoln,2019,ICPC,https://www.linkedin.com/in/tthung1997
Trung Dang,United States,Purdue University,2023,ICPC,https://www.linkedin.com/in/trung-dang-679573187
Tsingying Xu,Australia,UNSW Sydney,2024,ICPC,
Tunan Shi,Australia,,2020,IOI,https://uk.linkedin.com/in/tunan-shi-5b5bb0209
Tuong Le,United States,University of Michigan at Ann Arbor,2024,ICPC,https://www.linkedin.com/in/tuong-le-447589241
Tyler Brazill,United States,University of Central Florida,2015,ICPC,https://www.linkedin.com/in/todd-brazill-a12a6210
Tyler Uhlenkamp,United States,Iowa State University,2015,ICPC,https://www.linkedin.com/in/tyler-uhlenkamp-2637b061
Vedant Kumud,United States,"University of California, Berkeley",2024,ICPC,https://www.linkedin.com/in/satyammehta
Victor Chen,Canada,University of British Columbia,2020,ICPC,https://ca.linkedin.com/in/cvic
Victor Coen,New Zealand,,2024,IOI,
Victor Cyril L Lecomte,United States,Columbia University,2019,ICPC,https://www.linkedin.com/in/glossychicks-llc
Victor Reis,United States,Cornell University,2016,ICPC,https://pt.linkedin.com/in/victor-reis-68b86a21
Victor Rong,Canada,,2019,IMO,https://www.linkedin.com/in/victorrong
Victor Tao,Canada,University of Toronto,2021,ICPC,
Victor Xu,United States,Princeton University,2017,ICPC,https://www.linkedin.com/in/victor-xu-bb7359110
Viktor Kozhuharov,United Kingdom,University of Oxford,2024,ICPC,https://uk.linkedin.com/in/viktor-kozhuharov
Vincent Huang,United States,,2019,IMO,https://www.linkedin.com/in/vincenthuang
Vincent Ling,Canada,The University of British Columbia,2024,ICPC,https://ca.linkedin.com/in/vincent-ling-63792a1b4
Visit Pataranutaporn,United States,Rice University,2016,ICPC,
Vladimir Maksimovski,United States,University of Rochester,2021,ICPC,https://www.linkedin.com/in/vladimir-maksimovski
Vladimir Milenkovic,United Kingdom,University of Cambridge,2021,ICPC,https://rs.linkedin.com/in/vladamg98
Volodymyr Lyubinets,Canada,University of Waterloo,2015,ICPC,https://www.linkedin.com/in/lyubinets
Waitaya Krongapiradee,United States,University of California Irvine,2017,ICPC,
Warren Bei,Canada,,2023,IMO,https://ca.linkedin.com/in/warren-beil-8a2b865
Warren Li,United Kingdom,,2016,IMO,https://www.linkedin.com/in/warren-li
Weiqiao Han,United States,University of California at Berkeley,2016,ICPC,https://www.linkedin.com/in/kai-hu-916797241
Weiying Chen,Canada,University of Alberta,2022,ICPC,
Wen Li Looi,Canada,University of Calgary,2015,ICPC,https://www.linkedin.com/in/wlooi
Wen Yuen Pang,Canada,University of Waterloo,2024,ICPC,https://www.linkedin.com/in/wenyuen
Wenli Looi,United States,Stanford University,2019,ICPC,https://www.linkedin.com/in/wlooi
Wesley Leung,Canada,University of Waterloo,2021,ICPC,https://www.linkedin.com/in/wesley-a-leung
William Cheah,Australia,,2024,IMO,
William Cooperman,United States,Carnegie Mellon University,2015,ICPC,https://www.linkedin.com/in/gregcooperman
William Fiset,Canada,Mount Allison University,2017,ICPC,https://www.linkedin.com/in/williamfiset
William George Steinberg,Australia,,2020,IMO,https://uk.linkedin.com/in/william-steinberg
William Han,New Zealand,,2019,IMO,https://www.linkedin.com/in/williamhan7244
William Hu,Australia,,2018,IMO,https://www.linkedin.com/in/william-hu-92ba4621
William Li,United States,University of Utah,2016,ICPC,https://www.linkedin.com/in/william-li-596b9284
William Thomson,United Kingdom,,2023,IMO,https://www.linkedin.com/in/williammthomson
William Tsin,United States,Carnegie Mellon University,2023,ICPC,https://www.linkedin.com/in/william-tsin-a06990214
William Wang,United States,,2020,IMO,https://www.linkedin.com/in/william-wang-10282828
William Xi,United States,Stanford University,2023,ICPC,https://www.linkedin.com/in/william-xi-a8535b190
William Zhao,Canada,,2019,IMO,https://www.linkedin.com/in/williamzhao123
Wilson Zhao,Australia,,2016,IMO,https://www.linkedin.com/in/wilsonzhao
Xi Yi,United States,University of Maryland,2015,ICPC,https://www.linkedin.com/in/xi-yi-34a4a3a9
Xiang Wang,United States,Duke University,2019,ICPC,https://www.linkedin.com/in/xiang-wang-37585995
Xiangyue (Laura) Nan,Australia,,2024,IMO,https://www.linkedin.com/in/xiaozhuo-laura-cheng-a73b9386
Xiao Mao,United States,Massachusetts Institute of Technology,2021,ICPC,https://www.linkedin.com/in/xiao-mao-98094790
Xiaoou Zhou,United States,University of Rochester,2024,ICPC,
Xifan Yu,United States,University of Chicago,2019,ICPC,https://www.linkedin.com/in/xifan-yu
Xin Gao,United States,University of California Los Angeles,2015,ICPC,https://www.linkedin.com/in/xin-gao-022771107
Xin Wei Chow,Australia,Monash University,2017,ICPC,https://au.linkedin.com/in/xinweichow
Xingfang Yuan,United States,Rose-Hulman Institute of Technology,2018,ICPC,https://www.linkedin.com/in/xingfang-yuan-8305b295
Xingjian Bai,United Kingdom,University of Oxford,2023,ICPC,https://uk.linkedin.com/in/xingjian-bai-8103ba184
Xingyu Zhou,Canada,The University of British Columbia,2021,ICPC,https://ca.linkedin.com/in/xingyu-zhou-966000166
Xingyuan Sun,United States,Princeton University,2019,ICPC,https://www.linkedin.com/in/xingyuan-sun-705545145
Xinpei Yu,United States,University of Southern California,2015,ICPC,https://www.linkedin.com/in/xinpei-yu-5949b658
Xinyu Wu,United States,Carnegie Mellon University,2016,ICPC,https://www.linkedin.com/in/xinyu-wu-68b42a94
Xiyao Shi,United States,University of Illinois at Urbana-Champaign,2018,ICPC,https://www.linkedin.com/in/wangxiyao
Xuezhi Wang,Canada,,2024,IMO,https://www.linkedin.com/in/xuezhi-wang-8189b320
Xutong Wang,New Zealand,,2018,IMO,https://www.linkedin.com/in/xutong-wang-36b8b6120
Xuzhi Zhang,New Zealand,,2015,IMO,https://www.linkedin.com/in/nelson-xuzhi-zhang
Yan (Bill) Huang,Canada,,2015,IMO,https://www.linkedin.com/in/bill-huang-341299ba
Yan Ji,United States,Cornell University,2018,ICPC,
Yan Zou,United States,University of Rochester,2024,ICPC,
Yang Liu,United States,Stanford University,2015,ICPC,https://www.linkedin.com/in/liuyang90081
Yang Song,Australia,,2015,IMO,https://www.linkedin.com/in/yang-song-machine-learning
Yasiru Jayasooriya,Australia,,2019,IMO,https://au.linkedin.com/in/yasiru-jayasooriya-546583202
Yasiru Randiya Jayasooriya,Australia,,2020,IMO,https://au.linkedin.com/in/yasiru-jayasooriya-546583202
Yen-Hsiang Chang,United States,University of Illinois at Urbana-Champaign,2020,ICPC,https://www.linkedin.com/in/candicechen016
Yesung Jung,Canada,University of Waterloo,2018,ICPC,https://ca.linkedin.com/in/siyeonjung
Yewen Fan,United States,University of Illinois at Urbana-Champaign,2017,ICPC,https://www.linkedin.com/in/cyriljazra
Yeyuan Chen,United States,University of Michigan at Ann Arbor,2024,ICPC,https://cn.linkedin.com/in/yeyuan-chen-5a27731b4
Yi Feng Huang,Canada,University of Waterloo,2016,ICPC,https://www.linkedin.com/in/andyyfhuang
Yi Kuan Li,Canada,University of Waterloo,2017,ICPC,https://www.linkedin.com/in/fataleagle
Yi Wu,United States,University of California at Berkeley,2015,ICPC,https://www.linkedin.com/in/yi-wu-0b5121248
Yi Xiao Zhang,Canada,,2015,IOI,
Yi Xu,United States,Cornell University,2020,ICPC,https://www.linkedin.com/in/yixu34
Yiannis Fam,New Zealand,,2017,IMO,
Yibo Huang,United States,Virginia Tech,2020,ICPC,https://www.linkedin.com/in/yibo-huang-9b8826157
Yichen Huang,United Kingdom,University of Oxford,2023,ICPC,https://uk.linkedin.com/in/yichen-huang-924573255
Yiding Feng,United States,Northwestern University,2017,ICPC,https://www.linkedin.com/in/yiding-feng-6795b8242
Yifan Liu,United States,University of Chicago,2019,ICPC,https://www.linkedin.com/in/yifanliu-yf
Yijie Wang,United States,Georgia Institute of Technology,2015,ICPC,https://www.linkedin.com/in/yijie-dylan-wang-68166257
Yijun Chen,United States,Carnegie Mellon University,2022,ICPC,https://www.linkedin.com/in/yijuncmu
Yikuan Li,Canada,,2016,IOI,https://www.linkedin.com/in/yikuanli8
Yilun Wu,United States,Rose-Hulman Institute of Technology,2018,ICPC,https://www.linkedin.com/in/yilun-wu-1194a7112
Ying Sheng,United States,Columbia University,2018,ICPC,https://www.linkedin.com/in/yingsheng-li-8220911
Yinzhan Xu,United States,Massachusetts Institute of Technology,2019,ICPC,https://www.linkedin.com/in/yan-xu-1848bb260
Yiquan Wang,United States,Carnegie Mellon University,2019,ICPC,https://hk.linkedin.com/in/yiquan-wang-0b8743b4
Yordan Chaparov,United Kingdom,Imperial College London,2016,ICPC,https://uk.linkedin.com/in/yordan-chaparov
Youngmin Park,United States,"University of California, Berkeley",2024,ICPC,https://www.linkedin.com/in/youngminpark2
Yu Gao,United States,Georgia Institute of Technology,2022,ICPC,https://www.linkedin.com/in/yu-gao-b5883b39
Yuan Yao,United States,,2016,IMO,https://www.linkedin.com/in/yuan-yao-5020b83b
Yuanchen Du,Canada,University of British Columbia,2017,ICPC,
Yuehui Wang,United States,University of Southern California,2016,ICPC,https://www.linkedin.com/in/yuehui-wang-17a37998
Yuetong Wang,United States,Stanford University,2018,ICPC,https://cn.linkedin.com/in/yuetong-wang-81463a117
Yuheng Xu,United States,Duke University,2020,ICPC,https://www.linkedin.com/in/heng-xu-71972619b
Yui Hin Arvin Leung,United Kingdom,University of Cambridge,2021,ICPC,https://uk.linkedin.com/in/yui-hin-leung-1a1001276
Yujie An,United States,University of Michigan at Ann Arbor,2015,ICPC,https://www.linkedin.com/in/yujie-an-7591113a
Yujin Wu,Australia,The University of New South Wales,2015,ICPC,https://au.linkedin.com/in/yujin-wu-0892ab214
Yuka Machino,United Kingdom,,2021,IMO,https://www.linkedin.com/in/yuka-machino-6a8229226
Yunpeng Tang,Canada,University of Alberta,2017,ICPC,https://ca.linkedin.com/in/frank-yunpeng-tang-aba995111
Yuping Luo,United States,Princeton University,2019,ICPC,
Yuting Zhang,United States,University of Illinois at Urbana-Champaign,2017,ICPC,https://www.linkedin.com/in/yuting-zhang-uiuc
Yuuki Sawanoi,United States,University of Illinois at Urbana-Champaign,2024,ICPC,https://www.linkedin.com/in/yuukis18
Yuxiang Zhang,United States,Iowa State University,2017,ICPC,https://www.linkedin.com/in/yuxiangmusic
Yuxin Sun,United States,University of Wisconsin - Madison,2018,ICPC,https://www.linkedin.com/in/yuxin-sun-b96b47213
Yuzhou Gu,United States,Massachusetts Institute of Technology,2017,ICPC,https://www.linkedin.com/in/yuzhou-gu-5b067571
Zachary Chroman,United States,,2017,IMO,https://www.linkedin.com/in/zack-chroman-85486115a
Zachary Felix,United States,Messiah College,2015,ICPC,https://www.linkedin.com/in/ieasha-tincler-aa935215
Zachary Glick,United States,Washington University in St. Louis,2018,ICPC,https://www.linkedin.com/in/zach-glick-800b75219
Zachary Polansky,United States,University of Rochester,2017,ICPC,https://www.linkedin.com/in/jane-polansky-485b696
Zachary Smith,United Kingdom,,2019,IOI,https://www.linkedin.com/in/zsmith
Zack Lee,United States,Carnegie Mellon University,2021,ICPC,https://www.linkedin.com/in/zacktlee
Zalan Varga,New Zealand,,2022,IOI,
Zekun Li,United States,University of Southern California,2016,ICPC,https://www.linkedin.com/in/lizekun
Zexing Chen,United States,University of California San Diego,2024,ICPC,https://www.linkedin.com/in/zexing-chen-51746a168
Zexuan Zhong,United States,University of Illinois at Urbana-Champaign,2019,ICPC,https://www.linkedin.com/in/zexuan-zhang-556487288
Zeyu Nie,United States,University of Rochester,2024,ICPC,https://www.linkedin.com/in/zeyu-nie
Zeyu Wang,United States,Northwestern University,2015,ICPC,https://www.linkedin.com/in/zeyu-wang-
Zeyuan He,United States,University of Wisconsin - Madison,2019,ICPC,https://jp.linkedin.com/in/zeyuan-he
Zhan Xiong Chin,United States,University of Pennsylvania,2018,ICPC,https://sg.linkedin.com/in/zhan-xiong-chin
Zhenwei Hu,United States,University of Illinois at Urbana-Champaign,2022,ICPC,https://www.linkedin.com/in/zhenweihu
Zhenxian Yang,United Kingdom,,2015,IOI,https://uk.linkedin.com/in/zhen-yang-5843a0171
Zhenyuan Xiang,Canada,University of Toronto,2023,ICPC,https://ca.linkedin.com/in/zhenyuan-xiang
Zhezheng Luo,United States,Massachusetts Institute of Technology,2020,ICPC,https://www.linkedin.com/in/zhezheng-luo-707394231
Zhiyuan Qi,New Zealand,,2020,IOI,https://www.linkedin.com/in/zhiyuan-qi-4a074a1b6
Zhongtian Jiang,United States,Georgia Institute of Technology,2015,ICPC,https://www.linkedin.com/in/zhongtianjiang
Zhou Sun,United States,University of Michigan at Ann Arbor,2015,ICPC,https://www.linkedin.com/in/yishun-zhou
Zhuo Qun (Alex) Song,Canada,,2015,IMO,https://www.linkedin.com/in/zhuoqunsong
Zhuolin Yang,United States,University of Illinois at Urbana-Champaign,2020,ICPC,https://www.linkedin.com/in/zhuolin-yang-a91180198
Zian Shang,Australia,,2023,IMO,https://au.linkedin.com/in/zian-shang-972257188
Zifan Wang,United States,,2021,IMO,https://www.linkedin.com/in/zifanw
Zihan Wang,United States,University of Illinois at Urbana-Champaign,2020,ICPC,https://www.linkedin.com/in/zihan-wang-594061195
Zimri Leisher,United States,Carleton College,2023,ICPC,https://www.linkedin.com/in/zimri-leisher
Ziqian Zhong,United States,Massachusetts Institute of Technology,2024,ICPC,https://www.linkedin.com/in/ziqian-zhong-9723a9146
Zixiang Zhou,Canada,,2021,IMO,https://www.linkedin.com/in/zixiangzhou
Zixiang Zhou,United States,Massachusetts Institute of Technology,2024,ICPC,https://www.linkedin.com/in/zixiangzhou
Zixu He,Australia,UNSW Sydney,2024,ICPC,https://au.linkedin.com/in/zixu-zhao-6860b9307
Zixuan Zhao,United States,University of Chicago,2019,ICPC,https://www.linkedin.com/in/zixuan-zhao-1051a2185
Ziyi Zhang,United States,University of Wisconsin-Madison,2020,ICPC,https://www.linkedin.com/in/ziyi-zhang-uwmadison
Ziyuan Zhang,United States,University of Wisconsin-Madison,2021,ICPC,https://www.linkedin.com/in/dz00
Zoltán Molnár Sáska,United Kingdom,University of Cambridge,2019,ICPC,https://hu.linkedin.com/in/zoltan-molnar-saska-56a773199
Zuohan Xiahou,United States,Washington University in St. Louis,2018,ICPC,
